10.0341	Seq: 0	ACK: 1	time: 10017	echo: 10000 
10.0688	Seq: 1	ACK: 1501	time: 10051	echo: 10034 
10.0699	Seq: 1	ACK: 4501	time: 10052	echo: 10034 
10.0711	Seq: 1	ACK: 7501	time: 10054	echo: 10034 
10.0721	Seq: 1	ACK: 10501	time: 10055	echo: 10034 
10.0731	Seq: 1	ACK: 13501	time: 10056	echo: 10034 
10.1036	Seq: 1	ACK: 16501	time: 10086	echo: 10034 
10.1047	Seq: 1	ACK: 19501	time: 10087	echo: 10068 
10.1057	Seq: 1	ACK: 22501	time: 10088	echo: 10069 
10.1068	Seq: 1	ACK: 25501	time: 10089	echo: 10069 
10.1078	Seq: 1	ACK: 28501	time: 10090	echo: 10071 
10.1089	Seq: 1	ACK: 31501	time: 10091	echo: 10071 
10.1099	Seq: 1	ACK: 34501	time: 10092	echo: 10072 
10.111	Seq: 1	ACK: 37501	time: 10093	echo: 10072 
10.112	Seq: 1	ACK: 40501	time: 10094	echo: 10073 
10.1384	Seq: 1	ACK: 43501	time: 10121	echo: 10073 
10.1394	Seq: 1	ACK: 46501	time: 10122	echo: 10103 
10.1405	Seq: 1	ACK: 49501	time: 10123	echo: 10103 
10.1415	Seq: 1	ACK: 52501	time: 10124	echo: 10104 
10.1426	Seq: 1	ACK: 55501	time: 10125	echo: 10104 
10.1436	Seq: 1	ACK: 58501	time: 10126	echo: 10105 
10.1447	Seq: 1	ACK: 61501	time: 10127	echo: 10105 
10.1457	Seq: 1	ACK: 64501	time: 10128	echo: 10106 
10.1468	Seq: 1	ACK: 67501	time: 10129	echo: 10106 
10.1478	Seq: 1	ACK: 70501	time: 10130	echo: 10107 
10.1489	Seq: 1	ACK: 73501	time: 10131	echo: 10107 
10.1499	Seq: 1	ACK: 76501	time: 10132	echo: 10108 
10.151	Seq: 1	ACK: 79501	time: 10133	echo: 10108 
10.152	Seq: 1	ACK: 82501	time: 10135	echo: 10109 
10.1531	Seq: 1	ACK: 85501	time: 10136	echo: 10109 
10.1541	Seq: 1	ACK: 88501	time: 10137	echo: 10110 
10.1552	Seq: 1	ACK: 91501	time: 10138	echo: 10110 
10.1562	Seq: 1	ACK: 94501	time: 10139	echo: 10112 
10.1732	Seq: 1	ACK: 97501	time: 10156	echo: 10112 
10.1742	Seq: 1	ACK: 100501	time: 10157	echo: 10138 
10.1753	Seq: 1	ACK: 103501	time: 10158	echo: 10138 
10.1763	Seq: 1	ACK: 106501	time: 10159	echo: 10139 
10.1774	Seq: 1	ACK: 109501	time: 10160	echo: 10139 
10.1784	Seq: 1	ACK: 112501	time: 10161	echo: 10140 
10.1795	Seq: 1	ACK: 115501	time: 10162	echo: 10140 
10.1805	Seq: 1	ACK: 118501	time: 10163	echo: 10141 
10.1816	Seq: 1	ACK: 121501	time: 10164	echo: 10141 
10.1826	Seq: 1	ACK: 124501	time: 10165	echo: 10142 
10.1837	Seq: 1	ACK: 127501	time: 10166	echo: 10142 
10.1847	Seq: 1	ACK: 130501	time: 10167	echo: 10143 
10.1858	Seq: 1	ACK: 133501	time: 10168	echo: 10143 
10.1868	Seq: 1	ACK: 136501	time: 10169	echo: 10144 
10.1879	Seq: 1	ACK: 139501	time: 10170	echo: 10144 
10.1889	Seq: 1	ACK: 142501	time: 10171	echo: 10145 
10.19	Seq: 1	ACK: 145501	time: 10172	echo: 10145 
10.191	Seq: 1	ACK: 148501	time: 10173	echo: 10146 
10.1921	Seq: 1	ACK: 151501	time: 10175	echo: 10146 
10.1931	Seq: 1	ACK: 154501	time: 10176	echo: 10147 
10.1942	Seq: 1	ACK: 157501	time: 10177	echo: 10147 
10.1952	Seq: 1	ACK: 160501	time: 10178	echo: 10148 
10.1963	Seq: 1	ACK: 163501	time: 10179	echo: 10148 
10.1973	Seq: 1	ACK: 166501	time: 10180	echo: 10149 
10.1984	Seq: 1	ACK: 169501	time: 10181	echo: 10149 
10.1994	Seq: 1	ACK: 172501	time: 10182	echo: 10150 
10.2005	Seq: 1	ACK: 175501	time: 10183	echo: 10150 
10.2015	Seq: 1	ACK: 178501	time: 10184	echo: 10152 
10.2026	Seq: 1	ACK: 181501	time: 10185	echo: 10152 
10.2036	Seq: 1	ACK: 184501	time: 10186	echo: 10153 
